Наименование;Цвет;Изображение;Размеры;Цена;Описание
"278011 Майка детская трикотажная для девочек -цвет красный;белый;синий";;https://www.odevaika.ru/upload/catalog_images/278011/278011_01.jpg;92, 86, 74, 80;145;":Майка изготовлена из натурального материала, который не раздражает нежную детскую кожу * Добавление в хлопок эластана позволяет изделию хорошо ""сесть"" по фигуре * Модель с ярким стильным принтом *Преимущества: Натуральный материал не раздражает нежную детскую кожу, хорошо вентилируетсяАккуратные швы не вызывают неприятных ощущенийМодель с ярким стильным принтом 95% хлопок, 5% эластан"
382030 Шапка трикотажная для девочек -цвет белый;;https://www.odevaika.ru/upload/catalog_images/382030/1.jpg;56, 54, 52;230;:*Надежно, тепло, изящно Нежная белая шапочка с пушистым помпоном вызовет у девочки восторг! Вязаная модель, украшенная переливающимися бусинами и стразами, не может остаться незамеченной, добавляя образу девочки изящества * Удобные эластичные завязки хорошо фиксируют шапку на голове ребенка, а благодаря продуманной форме с удлиненными ушками шапка надежно защищает от ветра * 100% акрил
"382213 Ботинки для девочек -цвет черный;белый";;https://www.odevaika.ru/upload/catalog_images/382213/382213_1.jpg;29, 30, 28, 32, 31;1145;:* Ботинки выполнены из качественных искусственных материалов, подкладка - из ткани с высоким содержанием натуральной шерсти, стелька кожаная * Комфортная пятка, шнуровка и молния * Гибкая подошва с рифлением обеспечивает оптимальный 100% полиуретан
"194134 Фуфайка трикотажная для девочек (футболка) -цвет голубой;белый;светло-желтый";;https://www.odevaika.ru/upload/catalog_images/194134/194134_1.jpg;134, 128, 140, 146, 152;350;":*Футболка трикотажная с коротким рукавом * Отделка рюшами по низу рукавов и по низу изделия * ""Резиновый"" ( Light rubber print ) принт с аппликацией на полочке * 100% хлопок"
372013 Брюки текстильные для девочек -цвет розовый;;https://www.odevaika.ru/upload/catalog_images/372013/b_372013_01.jpg;122, 128, 104, 98, 110, 116;570;:*Практичные вельветовые брюки из натурального хлопка * Классическая 5-ти карманная модель, дополнена шлевками * При необходимости можно использовать ремень * Изнутри пояс можно отрегулировать за счет удобной резинки на пуговицах * 97% хлопок, 3% эластан
562003 Фуфайка трикотажная для девочек (футболка с длинным рукавом) -цвет белый;;https://www.odevaika.ru/upload/catalog_images/562003/1.jpg;122, 104, 128, 98, 110, 116;290;:Уютная хлопковая футболка с длинными рукавами * Украшена ярким лицензионным принтом с диснеевскими долматинцами * 95% хлопок, 5% эластан
"172238 Полуботинки для девочек -цвет розовый;белый";;https://www.odevaika.ru/upload/catalog_images/172238/b_172238_01.jpg;29, 30, 31, 27, 28, 32;660;:*Яркие комфортные ботинки (кроссовки) для девочек выполнены из современных материалов * Ортопедическая высокая пятка с мягким кантом по верху и высокая гибкая подошва с рифлением обеспечивают оптимальный комфорт * Наполненная носочная часть для правильного формирования стопы * Застежка – широкий через подъемный ремень на липучках велкро, отлично фиксирует модель на ноге * * Преимущества:  Подошва из гибкого, нескользящего материала  Рифление подошвы обеспечивает хорошее сцепление с поверхностью  Удобная пятка укреплена жестким задником 65% полиуретан, 35% хлопок
"376006 Носки трикотажные для девочек -цвет красный;розовый;белый";;https://www.odevaika.ru/upload/catalog_images/376006/b_376006_01.jpg;18, 16, 14;72;":*Носки очень мягкие, из натуральных материалов, приятные к телу и не сковывают движений * Хорошо пропускают воздух, тем самым позволяя коже ""дышать"" * Даже частые стирки, при условии соблюдений рекомендаций по уходу, не изменят ни форму, ни цвет изделия *Модель выполнена в технике - ""yarn dyed"" - в процессе производства в полотне используются разного цвета нити * Мягкая резинка не сдавливает нежную детскую кожу * 75% хлопок, 22% нейлон, 3% эластан"
"172040 Носки трикотажные для девочек, 2 пары в комплекте -цвет желтый;голубой;бежевый";;https://www.odevaika.ru/upload/catalog_images/172040/b_172040_01.jpg;14, 16;110;":*Носки очень мягкие, из качественных материалов, приятны к телу и не сковывают движений * Хорошо пропускают воздух, тем самым позволяя коже ""дышать"" * Даже частые стирки, при условии соблюдений рекомендаций по уходу, не изменят ни форму, ни цвет изделий * 75% хлопок, 22% нейлон, 3% эластан"
"172086 Носки трикотажные для девочек, 2 пары в комплекте -цвет розовый;светло-розовый";;https://www.odevaika.ru/upload/catalog_images/172086/b_172086_01.jpg;14;86;":*Носки очень мягкие, из качественных материалов, приятны к телу и не сковывают движений * Хорошо пропускают воздух, тем самым позволяя коже ""дышать"" * Даже частые стирки, при условии соблюдений рекомендаций по уходу, не изменят ни форму, ни цвет изделий * 75% хлопок, 22% нейлон, 3% эластан"
372042 Носки трикотажные для девочек, 2 пары в комплекте -цвет розовый;;https://www.odevaika.ru/upload/catalog_images/372042/b_372042_01.jpg;14, 16, 18;110;":*Носки с высоким содержанием натурального хлопка, не сковывают движений * Хорошо пропускают воздух, тем самым позволяя коже ""дышать"" * Даже частые стирки, при условии соблюдений рекомендаций по уходу, не изменят ни форму, ни цвет изделия * 75% хлопок, 22% нейлон, 3% эластан"
174030 Колготки трикотажные для девочек -цвет темно-синий;;https://playtoday.ru/upload/1c/new_struct/deti/174030/original/01.jpg;24, 22;150;:Колготки прекрасно дополнят гарбероб ребенка! Модель мягко облегает ноги, не сковывает движений и не сползает. Даже частые стирки, при условии соблюдений рекомендаций по уходу, не изменят ни форму, ни цвет изделия. Мягкая резинка не сдавливает живот. Преимущества:  Эластичная ткань обеспечивает комфортную носку. 100% нейлон
"382131 Колготки трикотажные для девочек, 2 пары в комплекте -цвет красный;розовый";;https://www.odevaika.ru/upload/catalog_images/382131/382131_1.jpg;22, 16, 18, 24;385;:*Удачный комплект Удобные, хорошо тянущиеся, немаркие колготки для повседневной носки в комплекте из двух пар * Девочке понравится приятная цветовая гамма, мягкие швы и эластичная резинка, которая не сдавливает и не натирает кожу ребенка * Колготки выгодно отличает износостойкость и натуральность ткани * Они не линяют и сохраняют яркость после стирки * Пусть и будний день девочки станет ярким и позитивным! 75% хлопок, 20% полиамид, 5% эластан
"176004 Трусы трикотажные для девочек - 2 шт. в комплекте -цвет белый;розовый";;https://playtoday.ru/upload/1c/new_struct/raskladka/176004/original/01.jpg;122-128, 110-116, 98-104;265;:Комплект трикотажных трусов для девочек. В наборе 2 штуки, две расцветки - однотонная розовая, белая с разноцветным принтом. 95% хлопок, 5% эластан
"176007 Трусы трикотажные для девочек - 2 шт. в комплекте -цвет белый;светло-розовый";;https://playtoday.ru/upload/1c/new_struct/raskladka/176007/original/01.jpg;98-104, 122-128, 110-116;265;:Трусы изготовлены из мягкого хлопка, приятного к телу, который не раздражает нежную детскую кожу. Аккуратные швы не вызывают неприятных ощущений. Модели декорированы бантиками Преимущества:  Натуральный материал не раздражает нежную детскую кожу, хорошо вентилируется Аккуратные швы не вызывают неприятных ощущений Даже частые стирки, при условии соблюдений рекомендаций по уходу, не изменят ни форму, ни цвет изделия 95% хлопок, 5% эластан
"376002 Комплект трикотажный для девочек: майка, трусы -цвет белый;белый";;https://playtoday.ru/upload/1c/new_struct/raskladka/376002/original/01.jpg;104, 110, 116, 128, 122, 98;279;":Комплект из майки и трусов выполнен из натурального материала, который не вызывает раздражений нежной детской кожи. Материал хорошо вентилируется. Майка на широких бретелях, мягкая резинка на трусах не сдавливает живот ребенка. Аккуратные швы не вызывают неприятных ощущений. Верх: 58% хлопок, 38% вискоза, 4% эластан; Подкладка: 95% хлопок, 5% эластан"
"376005 Трусы трикотажные для девочек, 3 шт. в комплекте -цвет синий;белый;голубой";;https://playtoday.ru/upload/1c/new_struct/raskladka/376005/original/01.jpg;122-128, 98-104, 110-116;320;:Трусы выполнены из мягкого хлопка, который не раздражает нежную детскую кожу. Аккуратные швы не вызывают неприятных ощущений. Широкая удобная резинка не сдавливает живот ребенка. 95% хлопок, 5% эластан
"396001 Трусы трикотажные для девочек, 3 шт. в комплекте -цвет белый;розовый;черный;золотистый";;https://playtoday.ru/upload/1c/new_struct/raskladka/396001/original/396001_04.jpg;110-116, 122, 98-104;320;:Комплект трикотажных трусов-слипов для девочки. В наборе 3 штуки: белые, розовые и черные. Все модели с принтом мелкий горох дополнены бантом. 95% хлопок, 5% эластан
"596001 Трусы трикотажные для девочек, 3 шт. в комплекте -цвет светло-серый;светло-розовый;белый;розовый;голубой;фиолетовый";;https://playtoday.ru/upload/1c/new_struct/raskladka/596001/original/596001_01.jpg;110-116, 122, 98-104;340;:Комплект трикотажных трусов-слипов для девочки. В наборе 3 штуки: белые, розовые и серые. Все модели декорированы принтом кошки и дополнены кружевной резинкой по краям. 95% хлопок, 5% эластан
382187 Колготки трикотажные для девочек -цвет белый;;https://playtoday.ru/upload/1c/new_struct/raskladka/382187/original/382187_1.jpg;24, 16;176;:О таких колготках мечтает каждая маленькая модница! Колготки, выполненные из мягкого эластичного трикотажа, подходят как для повседневной носки, так и для выхода в свет. Оригинальная вышивка золотой нитью добавляет изящества. Эластичная резинка не натирает нежную кожу ребенка, но отлично фиксирует изделие на талии. Красиво и удобно – девочка будет в восторге! 75% хлопок, 20% нейлон, 5% эластан
"396105 Колготки трикотажные для девочек -цвет светло-серый;серый";;https://playtoday.ru/upload/1c/new_struct/raskladka/396105/original/396105_04.jpg;14, 16, 18;240;:Всегда нужные для детского гардероба – универсальные трикотажные колготки. Модель дополнена стильным принтом, эластичной и удобной резинкой. 75% хлопок, 20% нейлон, 5% эластан
"472010 Колготки трикотажные для девочек -цвет белый;белый";;https://playtoday.ru/upload/1c/new_struct/raskladka/472010/original/472010_01.jpg;14, 18, 16;176;":Колготки с высоким содержанием натурального хлопка. Отлично тянутся и плотно облегают ногу. Не сковывают движений ребенка. Хорошо пропускают воздух, позволяя коже ""дышать"". Модель ажурной вязки. 75% хлопок, 22% нейлон, 3% эластан"
"174101 Трусы трикотажные для девочек - 2 шт. в комплекте -цвет белый;темно-синий";;https://playtoday.ru/upload/1c/new_struct/raskladka/174101/original/01.jpg;134-140, 146-152, 158-164;265;:Комплект трикотажных трусов для девочек, в наборе две расцветки. Трусы изготовлены из мягкого хлопка, приятного к телу, который не раздражает нежную детскую кожу. Даже частые стирки, при условии соблюдений рекомендаций по уходу, не изменят ни форму, ни цвет изделия. 58% полиэстер, 40% вискоза, 2% эластан
"396051 Трусы трикотажные для девочек, 3 шт. в комплекте -цвет черный;светло-розовый;белый";;https://playtoday.ru/upload/1c/new_struct/raskladka/396051/original/396051_14.jpg;128, 134-140, 146-152;340;:Комплект трикотажных трусов-слипов для девочки. В наборе 3 штуки: белые, розовые и черные. Все модели с принтом звезда дополнены кружевом. 95% хлопок, 5% эластан
"388123 Боди трикотажное для девочек -цвет темно-синий;белый";;https://playtoday.ru/upload/1c/new_struct/deti/388123/original/388123_01.jpg;68, 56, 62;396;:Изумительный комплект, состоящий из двух боди с длинным рукавом, – отличный выбор для малышки. Удобные застежки-кнопки на плечах и в паховой зоне обеспечивают комфорт при смене подгузника и быстрое надевание и снимание вещи. Удобная форма, мягкие швы, отличное качество - такой должна быть одежда для самых маленьких! 95% хлопок, 5% эластан
"178041 Носки детские трикотажные для девочек -цвет розовый;белый";;https://www.odevaika.ru/upload/catalog_images/178041/b_178041_01.jpg;11, 12;65;":*Носки очень мягкие, из качественных материалов, приятны к телу и не сковывают движений * Хорошо пропускают воздух, тем самым позволяя коже ""дышать"" * Даже частые стирки, при условии соблюдений рекомендаций по уходу, не изменят ни форму, ни цвет изделий *Преимущества:Мягкие, выполненные из натуральных материалов, приятны к телу, не сковывают движенийХорошо пропускают воздух, позволяя тем самым коже ""дышать""Даже частые стирки, при условии соблюдений рекомендаций по уходу, не изменят ни форму, ни цвет изделия 75% хлопок, 22% нейлон, 3% эластан"
388718 Нагрудник детский для девочек -цвет розовый;;https://www.odevaika.ru/upload/catalog_images/388718/388718_1.jpg;один размер;170;:*Для хорошего аппетита Симпатичный нагрудник в полоску с карманом для крошек * Удобная вещь, которая необходима каждому малышу * Прочная застежка-липучка надежно фиксирует нагрудник на шее, не натирая кожу ребенка * 100% ПЭВА (полиэтиленвинилацетат)
"178028 Боди детское трикотажное для девочек, 2 шт. в комплекте -цвет белый;розовый";;https://playtoday.ru/upload/1c/new_struct/deti/178028/original/01.jpg;86, 80, 74;395;:Боди из мягкой хлопковой ткани разнообразит гардероб Вашего ребенка. Модели для жаркой и прохладной погоды, с длинным и коротким рукавом. Материал приятен к телу и не вызывает раздражений. Аккуратные швы не вызывают неприятных ощущений. Для удобства снимания - одевания на горловине и в паховой области расположены застежки - кнопки. Преимущества:  Аккуратные швы не вызывают неприятных ощущений. Модели на застежках - кнопках Для жаркой и прохладной погоды. 95% хлопок, 5% эластан
"398803 Комбинезон детский трикотажный для девочек -цвет белый;светло-розовый;розовый";;https://playtoday.ru/upload/1c/new_struct/raskladka/398803/original/398803_04.jpg;56, 74, 62, 68;695;":Мягкий велюровый комбинезон PlayToday для девочки. Принт по всему изделию, закрытые ступни,косая удлиненная застежка на молнию для комфортного переодевания малыша. Верх: 100% полиэстер; Подкладка: 100% хлопок"
"398804 Комбинезон детский трикотажный для девочек -цвет светло-серый;золотистый";;https://playtoday.ru/upload/1c/new_struct/raskladka/398804/original/398804_04.jpg;74, 68, 62, 56;555;:Комбинезон PlayToday для девочки. Принт – горох из блесток по всему изделию, открытые ступни, косая удлиненная застежка на молнию для комфортного переодевания малыша.  Модель декорирована лампасами. 100% хлопок
"398853 Комбинезон детский трикотажный для девочек, 2 шт. в комплекте -цвет белый;черный;светло-розовый;золотистый";;https://playtoday.ru/upload/1c/new_struct/raskladka/398853/original/398853_04.jpg;68, 74, 56, 62;656;:Комплект из 2х комбинезонов с длинным рукавом. Приятная на ощупь ткань из 100% плотного хлопка не раздражает нежную кожу ребенка.  Застежка на кнопки спереди и на шаговом шве для комфортного переодевания малыша.  1 модель - рисунок по всей поверхности , 2я -принт на груди.  Цельнокроеная варежка до 68 размера, открытые ступни. 100% хлопок
"598853 Комбинезон детский трикотажный для девочек, 2 шт. в комплекте -цвет белый;светло-розовый;розовый;голубой;светло-желтый";;https://playtoday.ru/upload/1c/new_struct/raskladka/598853/original/598853_04.jpg;56, 62;656;:Комплект из 2х комбинезонов с длинным рукавом. Приятная на ощупь ткань из 100% плотного хлопка не раздражает нежную кожу ребенка.  Застежка на кнопки спереди и на шаговом шве для комфортного переодевания малыша, цельнокроеная варежка до 68 размера Декор – любимые персонажи Disney. 100% хлопок
"398858 Ползунки детские трикотажные для девочек -цвет светло-розовый;розовый;белый;золотистый";;https://playtoday.ru/upload/1c/new_struct/raskladka/398858/original/398858_04.jpg;56, 62, 68, 74;290;:Приятная на ощупь ткань из 100% плотного хлопка не раздражает нежную кожу ребенка. Широкая мягкая резинка не сдавливает живот, конструкция предполагает пространство под подгузник. Рисунок по всей поверхности. 100% хлопок
"178807 Боди детское трикотажное для девочек, 2 шт. в комплекте -цвет белый;серый;розовый";;https://www.odevaika.ru/upload/catalog_images/178807/b_178807_01.jpg;56, 68, 62;384;":*Боди изготовлены из натурального материала * Горловина одной из моделей сделана ""внахлест"", что позволяет быстро снять и одеть изделие ребенку, еще не умеющему держать головку * Для быстрой смены подгузника в паховой части расположены удобные застежки - кнопки * Ассиметричное расположение застежек - кнопок второй модели позволяет быстро снять и одеть изделие * 100% хлопок"
398806 Боди детское трикотажное для девочек -цвет белый;;https://playtoday.ru/upload/1c/new_struct/raskladka/398806/original/398806_04.jpg;74, 56, 68, 62;225;:Боди с коротким рукавом. Приятная на ощупь ткань из 100% плотного хлопка не раздражает нежную кожу ребенка.  Рисунок на груди, оборки по вороту. Кнопки сбоку горловины для комфортного переодевания малыша.  Застежка на кнопки внизу. 100% хлопок
398808 Боди трикотажное для девочек -цвет бежевый;;https://playtoday.ru/upload/1c/new_struct/raskladka/398808/original/398808_04.jpg;62, 56;264;:Боди с длинным рукавом * Приятная на ощупь ткань из 100% плотного хлопка не раздражает нежную кожу ребенка *  Кнопки по плечам с 2х сторон для комфортного перепереодевания ребенка, застежка на кнопки внизу * Модель украшена рюшами, фактурной аппликацией и принтом «горох» по всей поверхности * 100% хлопок
"398851 Боди детское трикотажное для девочек, 2 шт. в комплекте -цвет белый;черный;светло-розовый";;https://playtoday.ru/upload/1c/new_struct/raskladka/398851/original/398851_04.jpg;56, 62, 68, 74;448;:Комплект из 2х боди для девочки с длинным рукавом. Приятная на ощупь ткань из 100% плотного хлопка не раздражает нежную кожу ребенка. Английский воротник для комфортного переодевания ребенка, застежка на кнопки внизу. Цельнокроенная варежка до 62 размера. 1 боди – принт зайцы по всему изделию, 2й – дополнен принтом спереди (с блестками) и оборками. 100% хлопок
"398852 Боди детское трикотажное для девочек, 2 шт. в комплекте -цвет белый;черный;светло-розовый";;https://playtoday.ru/upload/1c/new_struct/raskladka/398852/original/398852_04.jpg;56, 68, 62, 74;448;:Комплект из 2х боди с длинным рукавом. Приятная на ощупь ткань из 100% плотного хлопка не раздражает нежную кожу ребенка.  Английский воротник для комфортного переодевания ребенка, застежка на кнопки внизу. Цельнокроеная варежка до 62 размера. 1 модель - рисунок по всей поверхности , 2я -принт на груди. 100% хлопок
"398855 Боди детское трикотажное для девочек, 2 шт. в комплекте -цвет светло-розовый;розовый;белый;золотистый";;https://playtoday.ru/upload/1c/new_struct/raskladka/398855/original/398855_04.jpg;68, 62, 56, 74;448;:Комплект из 2х боди для девочки с длинным рукавом. Приятная на ощупь ткань из 100% плотного хлопка не раздражает нежную кожу ребенка. Кнопки по бокам ворота для комфортного переодевания ребенка, застежка на кнопки внизу. Цельнокроенная варежка до 62 размера. 1й боди – розового цвета, мелкий принт сердца по всему изделию, 2й – в полоску дополнен принтом спереди. 100% хлопок
"598851 Боди детское трикотажное для девочек, 2 шт. в комплекте -цвет белый;светло-розовый;голубой;светло-желтый;черный";;https://playtoday.ru/upload/1c/new_struct/raskladka/598851/original/598851_04.jpg;56, 68, 62;476;:Комплект из 2х боди с длинным рукавом. Приятная на ощупь ткань из 100% плотного хлопка не раздражает нежную кожу ребенка.  Косая застежка на кнопках , цельнокроеная варежка до 62 размера. Декор – любимые персонажи Disney. 100% хлопок
"598852 Боди детское трикотажное для девочек, 2 шт. в комплекте -цвет белый;розовый;светло-розовый;голубой;светло-желтый";;https://playtoday.ru/upload/1c/new_struct/raskladka/598852/original/598852_04.jpg;68, 56, 62, 74;408;:Комплект из 2х боди с коротким рукавом. Приятная на ощупь ткань из 100% плотного хлопка не раздражает нежную кожу ребенка.  1 модель - рисунок по всей поверхности , 2я - принт на груди.  Декор – любимые персонажи Disney. Кнопки сбоку горловины для комфортного переодевания малыша.  Застежка на кнопки внизу. 100% хлопок
"388807 Комбинезон детский трикотажный для девочек, 2 шт. в комплекте -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/388807/original/388807_2.jpg;62, 68, 74, 56;648;:Комплект утеплённых комбинезонов для девочек из хлопка. В наборе две модели. 1 модель - белый комбинезон с длинным рукавом, закрытыми ножками, эластичными манжетами, декоративными оборками на плечиках дополнен принтом в горошек с добавлением глиттера. 2 модель - белый комбинезон с длинным рукавом, закрытыми ножками, эластичными манжетами, декоративными оборками по центру дополнен принтом в горошек. Обе модели имеют кнопки для удобства переодевания малыша. 100% хлопок
388811 Боди детское трикотажное для девочек, 2 шт. в комплекте -цвет белый;;https://playtoday.ru/upload/1c/new_struct/raskladka/388811/original/388811_1.jpg;74, 68, 56, 62;425;:Комплект боди для девочек с коротким рукавом из чистого хлопка. Однотонные модели, декорированные принтом на груди и контрастной окантовкой. Боди дополнены кнопками по всей длине для удобства переодевания малыша. 100% хлопок
388812 Боди детское трикотажное для девочек, 2 шт. в комплекте -цвет белый;;http://cdn.odevaika.ru/local/templates/restyle2018/images/no_photo.gif;62, 68, 56;352;:Комплект боди для девочек на бретелях из чистого хлопка * Однотонные модели, декорированные принтом на груди и контрастной окантовкой * Боди дополнены кнопками по всей длине для удобства переодевания малыша * 100% хлопок
"388858 Боди детское трикотажное для девочек, 2 шт. в комплекте -цвет темно-красный;белый";;https://www.odevaika.ru/upload/catalog_images/388858/388858_1.jpg;62, 68, 56;376;:Комплект боди для девочек с длинным рукавом из чистого хлопка * В наборе 2 модели * 1 модель – боди насыщенно-малиновой расцветки с принтом в разноцветный горошек, модель дополнена эластичными вставками на воротнике и манжетах * 2 модель – боди белого цвета с принтом в разноцветный горошек, модель дополнена эластичными манжетами * Обе модели имеют кнопки для удобного переодевания малыша * 100% хлопок
"398815 Боди трикотажное для девочек -цвет белый;золотистый";;https://playtoday.ru/upload/1c/new_struct/raskladka/398815/original/398815_04.jpg;56, 62;432;":Нарядное боди с длинным рукавом. Приятная на ощупь ткань из 100% плотного хлопка не раздражает нежную кожу ребенка.  Кнопки по плечам с2х сторон для комфортного переодевания ребенка, застежка на кнопки внизу. Модель украшена юбочкой из сетки, бантом и принтом на груди. 100% хлопок; отделка: 100% полиэстер"
"398857 Комплект трикотажный для девочек: комбинезон, нагрудник -цвет светло-розовый;розовый;белый;золотистый";;https://playtoday.ru/upload/1c/new_struct/raskladka/398857/original/398857_04.jpg;68, 62, 56, 74;656;:Комплект для новорожденной: комбинезон и нагрудник. Приятная на ощупь ткань из 100% плотного хлопка не раздражает нежную кожу ребенка. Розовый комбинезон с принтом сердца с закрытыми ножками и длинным рукавом. Цельнокроенная варежка до 62 размера. Кнопки спереди и на пошаговом шве для комфортного переодевания малыша. Розовый нагрудник с принтом сердца на безопасной липучке. 100% хлопок
"398860 Комплект детский трикотажный для девочек: комбинезон, ползунки, кофточка, боди, шапка, пелёнка -цвет розовый;светло-розовый;белый;коричневый;золотистый";;https://playtoday.ru/upload/1c/new_struct/raskladka/398860/original/398860_04.jpg;56, 74, 68;1160;:Подарочный комплект для новорожденной: комбинезон, ползунки, кофточка, боди, шапка, пелёнка. Приятная на ощупь ткань из 100% плотного хлопка не раздражает нежную кожу ребенка. Розовый комбинезон с принтом сердца с закрытыми ножками и длинным рукавом. Цельнокроенная варежка до 62 размера. Кнопки спереди и на пошаговом шве для комфортного переодевания малыша. Розовые ползунки с принтом сердца на широкой, не сдавливающей живот ребенка, резинке. Розовая кофточка с принтом сердца, длинные рукава, эластичные резинки по краю. Розовый боди с принтом сердце, швы наружу для дополнительного комфорта ребенка Розовая шапка с отворотом. Розовая пелёнка с принтом сердце по всему изделию. 100% хлопок
"188833 Носки детские трикотажные для девочек, 2 пары в комплекте -цвет светло-розовый;белый";;https://www.odevaika.ru/upload/catalog_images/188833/188833_01.jpg;11;136;":*Носки мягкие, из натуральных материалов * Хорошо пропускают воздух позволяя коже ""дышать"" * Одна пара выполнена технике - ""yarn dyed"" - в процессе производства в полотне используются разного цвета нити * Изделие, при рекомендуемом уходе, не линяет и надолго остается в первоначальном виде * Вторая пара дополнена жаккардовым рисунком * 75% хлопок, 20% нейлон, 5% эластан"
"188834 Носки детские трикотажные для девочек, 2 пары в комплекте -цвет светло-розовый;белый";;https://www.odevaika.ru/upload/catalog_images/188834/188834_01.jpg;11;136;":*Носки мягкие, из натуральных материалов * Хорошо пропускают воздух позволяя коже ""дышать"" * Модели дополнены жаккардовым рисунком * 75% хлопок, 20% нейлон, 5% эластан"
"188872 Носки детские трикотажные для девочек, 3 пары в комплекте -цвет белый;розовый;светло-розовый";;https://www.odevaika.ru/upload/catalog_images/188872/188872_02.jpg;11;192;":*Носки мягкие, из натуральных материалов * Хорошо пропускают воздух, позволяя коже ""дышать"" * Выполнены в технике ""yarn dyed"" - в процессе производства используются разного цвета нити * Изделие при рекомендуемом уходе не линяет и надолго остается в первоначальном виде * 75% хлопок, 22% нейлон, 3% эластан"
"378821 Носки детские трикотажные для девочек, 2 пары в комплекте -цвет белый;розовый";;https://www.odevaika.ru/upload/catalog_images/378821/b_378821_01.jpg;11;140;":*Носки очень мягкие, из натуральных материалов, приятные к телу и не сковывают движений * Хорошо пропускают воздух, тем самым позволяя коже ""дышать"" * Даже частые стирки, при условии соблюдений рекомендаций по уходу, не изменят ни форму, ни цвет изделия * Модель декорирована рельефным рисунком * Мягкая резинка не сдавливает нежную детскую кожу * 75% хлопок, 22% нейлон, 3% эластан"
"378822 Носки детские трикотажные для девочек, 2 пары в комплекте -цвет белый;розовый";;https://www.odevaika.ru/upload/catalog_images/378822/b_378822_01.jpg;11;105;":*Носки очень мягкие, из натуральных материалов, приятные к телу и не сковывают движений * Хорошо пропускают воздух, тем самым позволяя коже ""дышать"" * Даже частые стирки, при условии соблюдений рекомендаций по уходу, не изменят ни форму, ни цвет изделия * Модели декорированы оригинальным жаккардовым рисунком * Мягкая резинка не сдавливает нежную детскую кожу * 75% хлопок, 22% нейлон, 3% эластан"
"378823 Носки детские трикотажные для девочек -цвет красный;белый";;https://www.odevaika.ru/upload/catalog_images/378823/b_378823_01.jpg;11;98;":*Махровые носки очень мягкие, из натуральных материалов, приятные к телу и не сковывают движений * Хорошо пропускают воздух, тем самым позволяя коже ""дышать"" * Даже частые стирки, при условии соблюдений рекомендаций по уходу, не изменят ни форму, ни цвет изделия * Модель декорирована оригинальным жаккардовым рисунком * Мягкая резинка не сдавливает нежную детскую кожу * 75% хлопок, 22% нейлон, 3% эластан"
"388824 Носки детские трикотажные для девочек, 3 пары в комплекте -цвет розовый;белый";;https://www.odevaika.ru/upload/catalog_images/388824/388824_1.jpg;11;218;:*Три в одном Носочки удобнее приобретать в комплекте * Три пары эластичных носков разного цвета выполнены из натуральной ткани, обеспечивающей правильный воздухообмен * Любой образ будет неполным без этого аксессуара * Будут отлично смотреться с джинсами, брюками, юбкой * Качественные носочки не растягиваются и не перекручиваются, обеспечивая детским ногам комфортное ощущение в течение всего дня * 75% хлопок, 20% нейлон, 5% эластан
"388825 Носки детские трикотажные для девочек, 2 пары в комплекте -цвет белый;светло-серый";;https://www.odevaika.ru/upload/catalog_images/388825/388825_1.jpg;11;163;:*Комплект мягких эластичных носков, выполненных из натурального трикотажа, состоящий из двух пар * Отлично тянутся, не перекручиваются на ножке, не натирают кожу резинкой, обеспечивают правильный воздухообмен * Девочка будет довольна! 75% хлопок, 20% нейлон, 5% эластан
