Наименование;Цвет;Изображение;Размеры;Цена;Описание
120121032 Фуфайка трикотажная для девочек (футболка) -цвет белый;;https://playtoday.ru/upload/1c/new_struct/deti/120121032/original/120121032_1.jpg;152, 146, 140, 128, 134;380;:Футболка из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт с блестками и сохраняют первоначальный вид даже после многочисленных стирок перед и спинка разной длины 95% хлопок, 5% эластан
120121062 Фуфайка трикотажная для девочек (футболка) -цвет розовый;;https://playtoday.ru/upload/1c/new_struct/deti/120121062/original/120121062_1.jpg;140, 134, 128, 152, 146;380;:Футболка из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт с глиттером и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок 95% хлопок, 5% эластан
120121063 Фуфайка трикотажная для девочек (футболка с длинным рукавом) -цвет белый;;https://playtoday.ru/upload/1c/new_struct/deti/120121063/original/120121063_2.jpg;140, 146, 152, 134, 128;495;:Лонгслив из качественного и приятного на ощупь трикотажа высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму принт с пайетками и глиттером и цвет изделия сохраняют первоначальный вид даже после многочисленных стирок перед и спинка разной длины 95% хлопок, 5% эластан
"120121904 Фуфайка трикотажная для девочек (футболка) -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/120121904/original/120121904_1.jpg;134, 152, 146, 140, 128;370;:Футболка из коллекционной линии family look  можете составить family look с футболкой взрослого размера аналогичного дизайна высокое содержание хлопка  благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму 95% хлопок, 5% эластан
"120721904 Фуфайка женская трикотажная (футболка с коротким рукавом) -цвет белый;черный";;https://playtoday.ru/upload/1c/new_struct/deti/120721904/original/120721904_1.jpg;S, M, L;500;:Футболка из коллекционной линии family look  высокое содержание хлопка благодаря наличию эластана в составе ткани изделие проще в уходе и держит форму футболка взрослого размера: можете составить family look c детским вариантом футболки дочери или младшей сестры аналогичного дизайна. 95% хлопок, 5% эластан
120127637 Шапка трикотажная для девочек -цвет черный;;https://playtoday.ru/upload/1c/new_struct/deti/120127637/original/120127637_1.jpg;54, 56;370;:Шапка из вязаного трикотажа, эластичная резинка по краю. Высокое содержание хлопка в составе нити. Модель декорирована стразами. 60% хлопок, 40% акрил
"120127638 Комплект трикотажный для девочек: шапка, перчатки -цвет черный;белый";;https://playtoday.ru/upload/1c/new_struct/deti/120127638/original/120127638_1.jpg;56, 54;565;":Шапка из вязаного трикотажа, перчатки эластичная резинка по краю утеплена флисом модель украшает помпон из искуственного меха и бант  высокое содержание хлопка в составе нити Верх: 60% хлопок, 40% акрил; Подкладка: 100% полиэстер"
120127653 Берет трикотажный для девочек -цвет светло-розовый;;https://playtoday.ru/upload/1c/new_struct/deti/120127653/original/120127653_1.jpg;56, 54;370;:Нежно-розовый берет классического силуэта с высоким содержанием хлопка. Модель лаконичного дизайна дополнит любой образ. Высокое содержание хлопка в составе нити. 60% хлопок, 35% акрил, 5% люрекс
120127642 Перчатки трикотажные для девочек -цвет черный;;https://playtoday.ru/upload/1c/new_struct/raskladka/120127642/original/120127642_01.jpg;17-18, 16-17;210;: 60% хлопок, 38% акрил, 2% эластан
120127651 Шарф трикотажный для девочек -цвет черный;;https://playtoday.ru/upload/1c/new_struct/deti/120127651/original/120127651_1.jpg;54-56;385;:Чёрный шарф-снуд из вязаного трикотажа 60% хлопок, 40% акрил. 60% хлопок, 40% акрил
